age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,smoke,bmi,active,label
18, Private,210026, 10th,6, Never-married, Other-service, Other-relative, White, Female,40, United-States,0.0,25.519147437884325,1.0,0
50, Private,213296, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,48, United-States,0.0,20.037548059167122,1.0,1
23, Private,71864, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,35, United-States,0.0,23.462125703189464,0.0,0
57, Self-emp-not-inc,27385, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,10, United-States,0.0,21.629859961345574,0.0,0
37, Self-emp-not-inc,48063, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States,0.0,24.067325121581288,0.0,1
52, Self-emp-not-inc,135716, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,70, United-States,0.0,22.215563364205607,0.0,0
71, ?,125101, Assoc-voc,11, Widowed, ?, Not-in-family, White, Female,40, United-States,0.0,23.67033464826784,1.0,0
35, Private,166606, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States,1.0,23.19075352752461,1.0,0
38, Private,252250, 11th,7, Divorced, Machine-op-inspct, Not-in-family, White, Male,65, United-States,1.0,18.222549392726744,1.0,0
39, Private,63910, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,40, United-States,1.0,23.717585586338547,0.0,0
43, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,0.0,25.896776417125736,1.0,0
51, Private,193374, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Mexico,0.0,23.295759163464297,0.0,0
51, Private,220019, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States,1.0,23.08251306399048,0.0,0
21, Private,102766, Some-college,10, Divorced, Craft-repair, Own-child, White, Male,40, United-States,0.0,27.88695385616177,0.0,0
44, State-gov,351228, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,1.0,25.043285461544123,0.0,0
25, Private,190350, 10th,6, Married-civ-spouse, Other-service, Own-child, White, Female,35, United-States,0.0,22.770549219919914,1.0,0
43, Self-emp-not-inc,237670, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White, Male,25, United-States,1.0,26.495247395666127,0.0,0
35, Private,407913, HS-grad,9, Separated, Other-service, Not-in-family, Black, Male,40, United-States,1.0,23.875190291770323,1.0,0
60, Private,188650, 5th-6th,3, Married-civ-spouse, Sales, Husband, White, Male,40, ?,0.0,24.067845934314995,0.0,1
25, ?,230856, HS-grad,9, Never-married, ?, Unmarried, Black, Female,40, United-States,0.0,22.91266164504272,0.0,0
50, Private,175804, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,0.0,23.24618731858516,0.0,1
24, Self-emp-not-inc,322931, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,0.0,22.760904153267642,0.0,1
49, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,26.74934225829773,0.0,0
27, Private,134152, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,45, United-States,0.0,24.649629448642358,0.0,0
44, Private,169980, 11th,7, Married-civ-spouse, Other-service, Husband, Black, Male,60, United-States,1.0,26.39172782957354,0.0,0
59, Private,656036, Bachelors,13, Separated, Adm-clerical, Unmarried, White, Male,60, United-States,0.0,27.98797535079355,0.0,0
54, Private,188136, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,38, United-States,0.0,24.398856995156045,0.0,0
49, Self-emp-inc,330874, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,70, United-States,0.0,22.412071813928257,1.0,1
41, ?,202822, HS-grad,9, Separated, ?, Not-in-family, Black, Female,32, United-States,0.0,27.78351579820692,1.0,0
29, Private,136277, 10th,6, Never-married, Other-service, Own-child, Black, Female,32, United-States,1.0,22.170971892020038,0.0,0
31, Private,186144, 7th-8th,4, Never-married, Machine-op-inspct, Not-in-family, Other, Female,40, Mexico,0.0,26.04202689937996,1.0,0
23, Private,297152, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,25, United-States,0.0,24.45556609193312,0.0,0
34, Private,96483, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,60, United-States,0.0,23.45153311400232,1.0,1
25, Private,103358, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,40, India,0.0,23.246255463287273,0.0,0
56, Self-emp-inc,165881, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,0.0,24.38922783518407,1.0,1
26, Private,226196, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,40, United-States,1.0,26.189587681061226,0.0,0
45, Private,81400, 1st-4th,2, Married-civ-spouse, Other-service, Wife, White, Female,25, El-Salvador,1.0,25.20109002737623,0.0,0
45, Private,199590, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,38, Mexico,0.0,23.62364383626257,1.0,0
45, Private,408773, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0.0,23.77933494041512,1.0,1
58, Private,314153, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,21.327186917572575,0.0,1
56, Self-emp-not-inc,115422, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,35, United-States,0.0,21.50977291288925,0.0,0
35, Private,260578, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States,0.0,24.624549956671768,0.0,1
23, Private,142766, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,20, United-States,0.0,19.889660703060514,1.0,0
19, Private,196857, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States,0.0,20.96648753124013,0.0,0
43, Local-gov,163434, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,55, United-States,0.0,20.71216650067927,0.0,1
24, Private,34568, Assoc-voc,11, Never-married, Transport-moving, Not-in-family, White, Male,40, United-States,0.0,22.736901196707464,0.0,0
32, Self-emp-not-inc,298332, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States,1.0,18.003155427576566,1.0,1
53, Private,167065, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,1.0,25.51615505173789,0.0,0
37, Private,86310, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,45, United-States,0.0,21.210645225598615,1.0,0
43, Private,240124, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,1.0,24.54716657075939,0.0,0
54, Private,260052, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,0.0,22.45590799146668,1.0,1
35, Private,346766, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,40, United-States,1.0,25.339230536776967,1.0,0
25, Private,150062, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States,0.0,25.56581023330368,1.0,0
45, Local-gov,318280, HS-grad,9, Widowed, Protective-serv, Not-in-family, White, Male,40, United-States,0.0,22.59557364460873,0.0,1
65, Private,242580, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Male,50, United-States,0.0,22.693535345178837,0.0,1
32, Private,331539, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,50, China,0.0,22.611747956528987,1.0,1
25, Private,282612, Assoc-voc,11, Never-married, Tech-support, Unmarried, Black, Female,40, United-States,0.0,29.712886840181646,0.0,0
33, Private,109996, Assoc-acdm,12, Married-spouse-absent, Prof-specialty, Own-child, White, Female,40, United-States,0.0,24.261083490420337,0.0,0
51, Private,328947, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,40, United-States,0.0,23.688996000580968,1.0,0
42, Self-emp-not-inc,101593, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States,0.0,22.454731253192914,0.0,1
31, Private,387116, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Female,36, Jamaica,1.0,24.080539970132183,0.0,0
24, Private,187115, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,20, United-States,0.0,24.06074685878353,1.0,0
37, Private,70562, 1st-4th,2, Never-married, Other-service, Unmarried, White, Female,48, El-Salvador,0.0,24.018921277239514,0.0,0
44, Private,242619, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,1.0,24.964151884727826,0.0,0
19, Private,164395, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,25, United-States,0.0,22.316110808885565,0.0,0
25, Private,258276, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,40, United-States,0.0,24.622323113298112,1.0,0
22, Private,73266, Some-college,10, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,40, United-States,0.0,23.590062065375037,1.0,0
45, Self-emp-not-inc,192203, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,24.56613033862731,1.0,1
24, ?,165350, HS-grad,9, Separated, ?, Not-in-family, Black, Male,50, Germany,0.0,22.99352213658455,1.0,0
26, Private,272618, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,55, United-States,0.0,21.62947241884205,0.0,0
42, Self-emp-not-inc,212847, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,85, United-States,0.0,19.91394446731394,0.0,0
45, Private,166056, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,40, United-States,0.0,24.00318325791315,0.0,0
45, Private,148995, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,21.07966082577537,1.0,1
46, Private,110151, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States,0.0,24.80374543639079,1.0,0
32, Private,241802, HS-grad,9, Married-civ-spouse, Other-service, Wife, Other, Female,40, United-States,0.0,28.18972529229557,1.0,0
31, Local-gov,58624, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,40, United-States,0.0,22.382228562459254,1.0,0
57, Private,162301, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,45, United-States,1.0,22.630789831662533,1.0,0
20, ?,187332, 10th,6, Never-married, ?, Not-in-family, White, Female,30, United-States,0.0,24.221720476281142,0.0,0
52, Self-emp-not-inc,237868, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Male,5, United-States,1.0,22.987005012167568,1.0,0
22, Private,201729, 9th,5, Never-married, Handlers-cleaners, Other-relative, White, Male,30, United-States,0.0,26.727991929602407,1.0,0
43, Private,153160, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States,1.0,22.15070958801375,1.0,0
36, State-gov,96468, Masters,14, Never-married, Prof-specialty, Own-child, White, Female,40, United-States,0.0,22.975995738485533,0.0,0
37, State-gov,136137, Some-college,10, Separated, Adm-clerical, Not-in-family, White, Male,40, United-States,1.0,26.61629562073588,0.0,0
44, Private,344920, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,20, United-States,0.0,27.19066727139548,1.0,0
52, Self-emp-not-inc,175029, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States,0.0,21.745926576184054,1.0,0
44, Federal-gov,161240, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,40, United-States,0.0,23.06857458726706,0.0,0
34, Private,340917, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, ?,0.0,24.89745010718065,0.0,0
28, Private,138054, Assoc-acdm,12, Never-married, Other-service, Not-in-family, Other, Male,40, United-States,0.0,25.618281600861398,0.0,0
44, Federal-gov,240628, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States,0.0,22.738449839970155,0.0,0
36, Private,356824, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,40, United-States,0.0,25.887238421250682,0.0,0
49, Private,199058, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,38, United-States,1.0,22.240440880727547,0.0,0
38, Private,225707, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Cuba,0.0,20.966158902123748,0.0,1
31, Private,258849, Assoc-voc,11, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States,0.0,23.71362374967903,1.0,0
55, Self-emp-not-inc,477867, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,20.821413916588696,0.0,1
26, Private,76996, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, Black, Female,38, United-States,0.0,25.90874178171727,1.0,0
35, Private,86648, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,0.0,21.649447206150928,1.0,1
47, Local-gov,93476, Bachelors,13, Separated, Prof-specialty, Not-in-family, White, Female,70, United-States,0.0,22.28904640625409,0.0,0
30, State-gov,190385, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,37, United-States,0.0,27.265725177395268,0.0,0
63, Self-emp-not-inc,111306, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White, Female,10, United-States,0.0,27.864631709674875,0.0,0
29, Private,108574, Assoc-voc,11, Never-married, Priv-house-serv, Own-child, White, Female,40, United-States,1.0,22.63493095645355,1.0,0
63, ?,170529, Bachelors,13, Married-civ-spouse, ?, Wife, Black, Female,45, United-States,0.0,26.8506169473483,0.0,0
29, State-gov,159782, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,45, United-States,0.0,21.971083859798973,0.0,1
42, Private,144995, Preschool,1, Never-married, Handlers-cleaners, Not-in-family, White, Male,25, United-States,1.0,25.401680031025144,0.0,0
58, Private,290661, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,22.94806361155104,0.0,0
57, Private,173796, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,0.0,27.339615793161048,1.0,1
64, Self-emp-inc,213574, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,10, United-States,0.0,21.831216814439305,1.0,0
30, Private,108386, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,25.015108785260463,1.0,0
53, Self-emp-not-inc,108815, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States,0.0,22.99245974627205,0.0,0
40, Private,206049, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,0.0,22.47010764907608,1.0,0
23, Private,413345, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,60, United-States,0.0,22.78602204550992,1.0,0
18, Private,123343, 11th,7, Never-married, Sales, Not-in-family, White, Female,30, United-States,0.0,22.29872212357405,1.0,0
51, Private,108233, Assoc-acdm,12, Separated, Other-service, Not-in-family, Black, Female,40, United-States,0.0,22.68225641856273,0.0,0
34, Private,122616, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,84, United-States,0.0,21.79299075716734,0.0,1
31, Federal-gov,351141, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States,0.0,24.702005189647146,1.0,0
28, ?,198393, HS-grad,9, Never-married, ?, Not-in-family, Black, Female,40, United-States,0.0,29.297826149246998,1.0,0
90, Private,313749, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,10, United-States,0.0,22.064441996527147,0.0,0
36, Private,85272, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Wife, White, Female,30, United-States,0.0,21.143438236517387,0.0,1
28, Private,452808, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States,0.0,22.239659657195567,1.0,0
36, Private,61778, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States,1.0,21.702156967579263,1.0,1
46, Local-gov,162566, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,50, Canada,0.0,24.576739101065737,0.0,0
19, Self-emp-not-inc,73514, HS-grad,9, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,30, United-States,0.0,22.06629104057261,0.0,0
35, Private,178322, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,0.0,25.0604974407245,1.0,1
59, Self-emp-inc,125000, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, England,0.0,20.47278638947628,0.0,1
43, Private,282069, Some-college,10, Divorced, Craft-repair, Unmarried, White, Male,42, United-States,0.0,25.6002564702846,0.0,0
41, Private,194360, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,21.19726683749052,0.0,1
17, Private,142912, 10th,6, Never-married, Other-service, Own-child, White, Male,40, United-States,0.0,22.90501966735015,0.0,0
81, ?,89391, Prof-school,15, Married-civ-spouse, ?, Husband, White, Male,24, United-States,0.0,23.38243707160065,1.0,1
55, Private,205422, 10th,6, Married-civ-spouse, Other-service, Wife, Black, Female,40, United-States,0.0,23.135954180803555,1.0,0
27, Private,247819, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,15, United-States,0.0,20.887626828534472,0.0,0
24, State-gov,61737, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States,0.0,26.79791453420157,0.0,0
22, ?,219233, HS-grad,9, Never-married, ?, Own-child, Black, Male,30, United-States,0.0,25.563306434560968,0.0,0
63, Self-emp-inc,215833, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,24.271198908989504,1.0,1
21, Private,174907, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,32, United-States,0.0,22.699403581156503,1.0,0
30, Private,285295, Bachelors,13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,40, Philippines,0.0,24.657626785543513,1.0,0
32, Private,211743, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,45, United-States,0.0,20.892713508414033,1.0,0
47, ?,308242, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,40, United-States,0.0,26.64382899670095,0.0,0
32, Private,154087, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,1.0,22.743294432485037,1.0,0
25, Local-gov,176616, HS-grad,9, Never-married, Other-service, Own-child, White, Male,40, United-States,0.0,20.170416642314343,0.0,0
19, Private,351802, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,35, United-States,0.0,27.907298940258702,0.0,0
44, Private,156815, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States,0.0,22.45639228895768,1.0,0
28, Private,47907, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States,0.0,24.468991908314194,1.0,0
28, Local-gov,127491, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Female,40, United-States,0.0,22.701410658881716,0.0,0
24, State-gov,133586, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States,0.0,21.041811343238503,0.0,0
35, Self-emp-not-inc,267776, HS-grad,9, Never-married, Other-service, Other-relative, White, Female,30, United-States,0.0,25.916308158573603,0.0,0
23, Private,189830, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,50, United-States,0.0,19.903722741657035,0.0,0
32, Private,173730, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,20.714444389754387,1.0,1
46, Private,39363, Some-college,10, Divorced, Other-service, Unmarried, White, Female,10, ?,0.0,21.55463562202869,0.0,0
45, State-gov,154117, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,38, United-States,0.0,22.90250942554996,0.0,1
35, Private,54595, 12th,8, Never-married, Sales, Not-in-family, Black, Female,40, United-States,0.0,20.019333534062827,0.0,0
50, Local-gov,164127, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,40, United-States,0.0,27.62596724401961,0.0,0
35, Private,189922, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,1.0,25.107090116181308,0.0,0
53, Self-emp-not-inc,192982, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,85, United-States,0.0,26.377674282050837,0.0,0
33, Federal-gov,101345, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,0.0,25.488328422279267,0.0,0
32, Private,106541, 5th-6th,3, Married-civ-spouse, Other-service, Other-relative, White, Male,40, United-States,0.0,20.042406513250818,0.0,0
47, Self-emp-inc,175958, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,60, United-States,0.0,22.72322070148693,1.0,0
48, Private,141483, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States,1.0,28.744874553698192,0.0,0
45, Self-emp-inc,201699, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States,0.0,22.962079346002497,1.0,1
53, Private,290640, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,50, Germany,0.0,21.727220520676347,1.0,1
47, Self-emp-not-inc,171968, Bachelors,13, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,60, Thailand,0.0,17.81065127937291,0.0,0
27, Self-emp-not-inc,115705, Some-college,10, Never-married, Sales, Not-in-family, White, Male,50, United-States,0.0,21.803554815991955,0.0,0
31, Private,209276, HS-grad,9, Married-civ-spouse, Other-service, Husband, Other, Male,40, United-States,0.0,24.482531371469157,0.0,0
63, Self-emp-not-inc,420629, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,45, United-States,0.0,21.704467867869653,1.0,0
36, Private,153205, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,45, ?,0.0,24.834863726166745,0.0,0
56, Local-gov,104996, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,0.0,21.585900050523065,0.0,0
30, Local-gov,99502, Assoc-voc,11, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,40, United-States,0.0,23.32556312328395,0.0,0
20, ?,348148, 11th,7, Never-married, ?, Own-child, Black, Male,40, United-States,0.0,20.8757577654962,0.0,0
47, Private,423222, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,0.0,21.86586029676028,1.0,1
32, Self-emp-not-inc,92531, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,40, United-States,0.0,25.020073530806183,0.0,0
41, Self-emp-not-inc,144594, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,23.66462397803375,1.0,0
30, Private,77266, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States,0.0,20.901518830630536,0.0,0
68, Private,223851, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,24, United-States,0.0,20.837221812318962,0.0,0
57, Self-emp-not-inc,222216, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,60, United-States,0.0,24.281422599074602,1.0,0
23, Local-gov,212803, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,35, United-States,0.0,24.00890696638001,1.0,0
53, Private,358056, 11th,7, Divorced, Other-service, Unmarried, White, Female,40, United-States,0.0,24.875829608332747,0.0,0
56, Federal-gov,101338, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,0.0,19.47685757717457,0.0,0
46, Private,128645, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States,0.0,24.731811753868126,1.0,0
18, Private,141363, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,40, United-States,0.0,22.03719793386199,1.0,0
31, Private,220066, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,50, United-States,0.0,20.120553442680254,1.0,1
36, Self-emp-not-inc,90159, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States,0.0,22.91942084728962,0.0,0
28, Local-gov,146949, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States,0.0,25.983760412322248,0.0,0
33, Private,188246, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,65, United-States,0.0,21.812750326773052,0.0,1
38, Private,304651, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,60, United-States,0.0,23.881419003368265,1.0,0
52, Private,374883, Assoc-voc,11, Never-married, Farming-fishing, Not-in-family, White, Male,50, United-States,0.0,25.88074463007912,0.0,0
55, Private,197399, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States,0.0,21.699789286210084,1.0,1
37, Private,163199, Some-college,10, Divorced, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States,0.0,23.380368737047693,0.0,0
23, Federal-gov,350680, Assoc-acdm,12, Never-married, Exec-managerial, Own-child, White, Female,40, Poland,0.0,19.757497189780707,0.0,0
52, Private,185283, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States,0.0,24.10266947908348,1.0,0
20, Private,219835, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,30, United-States,0.0,25.49464151772433,0.0,0
41, Private,88368, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,50, United-States,0.0,24.690175991414318,1.0,0
32, Private,29933, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0.0,22.62837940076119,1.0,1
22, Private,229456, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,35, United-States,0.0,22.13661041618904,0.0,0
65, Private,344152, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,0.0,21.641529401968047,0.0,1
48, Private,199058, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,21.981425960628954,1.0,1
22, Private,39432, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,28.302225794536966,0.0,0
37, Local-gov,117683, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States,0.0,25.9322004546888,0.0,0
59, Private,61885, 12th,8, Divorced, Transport-moving, Other-relative, Black, Male,35, United-States,0.0,22.941258517660426,1.0,0
90, ?,175444, 7th-8th,4, Separated, ?, Not-in-family, White, Female,15, United-States,0.0,24.700417961535482,0.0,0
62, Private,149617, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,16, United-States,1.0,25.70655869791273,0.0,0
68, Private,165017, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Italy,0.0,24.046616585021034,0.0,1
32, ?,216908, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,24, United-States,1.0,25.142882382864126,0.0,0
29, Private,118230, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,35, United-States,1.0,24.517642053107625,0.0,0
26, Private,18827, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,40, United-States,0.0,28.10559776404849,0.0,0
20, Private,24008, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,24, United-States,1.0,24.05210338616137,0.0,0
24, Federal-gov,44075, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,40, United-States,0.0,25.625109000064764,1.0,0
25, Private,521400, 5th-6th,3, Never-married, Machine-op-inspct, Other-relative, White, Male,40, Mexico,1.0,21.788130339814163,1.0,0
19, Private,41745, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,40, United-States,1.0,24.92300427338453,1.0,0
32, Private,170017, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States,0.0,22.827733649337176,1.0,0
71, State-gov,210673, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,28, United-States,0.0,22.923710022895218,0.0,0
43, Private,200734, HS-grad,9, Separated, Other-service, Not-in-family, Black, Female,40, United-States,0.0,24.236902045154057,0.0,0
